checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,default,credit_income_ratio,monthly_payment,age_group,credit_amount_bin,duration_category,has_checking,good_credit_history,stable_employment,owns_property,owns_housing
0-200 DM,30,No credits/all paid,Business,4280,100-500 DM,1-4 years,4,Female: divorced/married,None,4,Car or other,26,None,Rent,2,Unskilled resident,1,None,Yes,1,856.0,142.66666666666666,26-35,Very High,Long (2-4yr),1,1,0,0,0
< 0 DM,24,All credits paid at this bank,Car (new),2325,100-500 DM,4-7 years,2,Male: single,None,3,Car or other,32,Bank,Own,1,Skilled employee,1,None,Yes,0,775.0,96.875,26-35,High,Medium (1-2yr),1,1,1,0,1
0-200 DM,10,All credits paid at this bank,Radio/TV,1048,< 100 DM,1-4 years,4,Male: single,None,4,Real estate,23,Stores,Own,1,Unskilled resident,1,None,Yes,0,209.6,104.8,18-25,Low,Short (1yr),1,1,0,1,1
No checking account,21,Existing credits paid till now,Radio/TV,3160,Unknown/none,>= 7 years,4,Male: single,None,3,Savings/life insurance,41,None,Own,1,Skilled employee,1,Yes,Yes,0,632.0,150.47619047619048,36-45,High,Medium (1-2yr),0,1,1,0,1
< 0 DM,24,All credits paid at this bank,Furniture/equipment,2483,500-1000 DM,1-4 years,4,Male: single,None,4,Real estate,22,Stores,Own,1,Skilled employee,1,Yes,Yes,0,496.6,103.45833333333333,18-25,High,Medium (1-2yr),1,1,0,1,1
< 0 DM,39,Critical account,Furniture/equipment,14179,Unknown/none,4-7 years,4,Male: single,None,4,Savings/life insurance,30,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,0,2835.8,363.56410256410254,26-35,Very High,Long (2-4yr),1,0,1,0,1
< 0 DM,13,Critical account,Business,1797,< 100 DM,< 1 year,3,Male: single,None,1,Savings/life insurance,28,Bank,Own,2,Unskilled resident,1,None,Yes,0,449.25,138.23076923076923,26-35,Medium,Medium (1-2yr),1,0,0,0,1
< 0 DM,15,Existing credits paid till now,Car (new),2511,< 100 DM,Unemployed,1,Female: divorced/married,None,4,Car or other,23,None,Rent,1,Skilled employee,1,None,Yes,0,1255.5,167.4,18-25,High,Medium (1-2yr),1,1,0,0,0
< 0 DM,12,Existing credits paid till now,Car (new),1274,< 100 DM,< 1 year,3,Female: divorced/married,None,1,Real estate,37,None,Own,1,Unskilled resident,1,None,Yes,1,318.5,106.16666666666667,36-45,Low,Short (1yr),1,1,0,1,1
No checking account,21,Existing credits paid till now,Car (used),5248,Unknown/none,1-4 years,1,Male: single,None,3,Car or other,26,None,Own,1,Skilled employee,1,None,Yes,0,2624.0,249.9047619047619,26-35,Very High,Medium (1-2yr),0,1,0,0,1
No checking account,15,Existing credits paid till now,Car (used),3029,< 100 DM,4-7 years,2,Male: single,None,2,Car or other,33,None,Own,1,Skilled employee,1,None,Yes,0,1009.6666666666666,201.93333333333334,26-35,High,Medium (1-2yr),0,1,1,0,1
< 0 DM,6,Existing credits paid till now,Furniture/equipment,428,< 100 DM,>= 7 years,2,Female: divorced/married,None,1,Savings/life insurance,49,Bank,Own,1,Skilled employee,1,Yes,Yes,0,142.66666666666666,71.33333333333333,46-55,Low,Short (1yr),1,1,1,0,1
< 0 DM,18,Existing credits paid till now,Car (new),976,< 100 DM,< 1 year,1,Female: divorced/married,None,2,Car or other,23,None,Own,1,Unskilled resident,1,None,Yes,1,488.0,54.22222222222222,18-25,Low,Medium (1-2yr),1,1,0,0,1
0-200 DM,12,Existing credits paid till now,Business,841,100-500 DM,4-7 years,2,Female: divorced/married,None,4,Real estate,23,None,Rent,1,Unskilled resident,1,None,Yes,0,280.3333333333333,70.08333333333333,18-25,Low,Short (1yr),1,1,1,1,0
No checking account,30,Critical account,Radio/TV,5771,< 100 DM,4-7 years,4,Female: divorced/married,None,2,Car or other,25,None,Own,2,Skilled employee,1,None,Yes,0,1154.2,192.36666666666667,18-25,Very High,Long (2-4yr),0,0,1,0,1
No checking account,12,Delay in past payments,Repairs,1555,>= 1000 DM,>= 7 years,4,Male: single,None,4,Unknown/none,55,None,For free,2,Skilled employee,2,None,Yes,1,311.0,129.58333333333334,46-55,Medium,Short (1yr),0,0,1,0,0
< 0 DM,24,Existing credits paid till now,Car (new),1285,Unknown/none,4-7 years,4,Female: divorced/married,None,4,Unknown/none,32,None,Rent,1,Skilled employee,1,None,Yes,1,257.0,53.541666666666664,26-35,Low,Medium (1-2yr),1,1,1,0,0
>= 200 DM,6,Critical account,Car (new),1299,< 100 DM,1-4 years,1,Male: single,None,1,Real estate,74,None,Own,3,Unemployed/unskilled non-resident,2,None,No,0,649.5,216.5,55+,Low,Short (1yr),1,0,0,1,1
>= 200 DM,15,Critical account,Radio/TV,1271,Unknown/none,1-4 years,3,Male: single,None,4,Unknown/none,39,None,For free,2,Skilled employee,1,Yes,Yes,1,317.75,84.73333333333333,36-45,Low,Medium (1-2yr),1,0,0,0,0
No checking account,24,Existing credits paid till now,Car (new),1393,< 100 DM,1-4 years,2,Male: single,Guarantor,2,Real estate,31,None,Own,1,Skilled employee,1,Yes,Yes,0,464.3333333333333,58.041666666666664,26-35,Medium,Medium (1-2yr),0,1,0,1,1
< 0 DM,12,Critical account,Car (new),691,< 100 DM,>= 7 years,4,Male: single,None,3,Savings/life insurance,35,None,Own,2,Skilled employee,1,None,Yes,1,138.2,57.583333333333336,26-35,Low,Short (1yr),1,0,1,0,1
No checking account,15,Critical account,Car (new),5045,Unknown/none,>= 7 years,1,Female: divorced/married,None,4,Car or other,59,None,Own,1,Skilled employee,1,Yes,Yes,0,2522.5,336.3333333333333,55+,Very High,Medium (1-2yr),0,0,1,0,1
< 0 DM,18,Critical account,Furniture/equipment,2124,< 100 DM,1-4 years,4,Female: divorced/married,None,4,Real estate,24,None,Rent,2,Skilled employee,1,None,Yes,1,424.8,118.0,18-25,Medium,Medium (1-2yr),1,0,0,1,0
< 0 DM,12,Existing credits paid till now,Radio/TV,2214,< 100 DM,1-4 years,4,Male: single,None,3,Savings/life insurance,24,None,Own,1,Unskilled resident,1,None,Yes,0,442.8,184.5,18-25,Medium,Short (1yr),1,1,0,0,1
No checking account,21,Critical account,Car (new),12680,Unknown/none,>= 7 years,4,Male: single,None,4,Unknown/none,30,None,For free,1,Highly skilled/self-employed,1,Yes,Yes,1,2536.0,603.8095238095239,26-35,Very High,Medium (1-2yr),0,0,1,0,0
No checking account,24,Critical account,Car (new),2463,100-500 DM,4-7 years,4,Male: married/widowed,None,3,Savings/life insurance,27,None,Own,2,Skilled employee,1,Yes,Yes,0,492.6,102.625,26-35,High,Medium (1-2yr),0,0,1,0,1
0-200 DM,12,Existing credits paid till now,Radio/TV,1155,< 100 DM,>= 7 years,3,Male: married/widowed,Guarantor,3,Real estate,40,Bank,Own,2,Unskilled resident,1,None,Yes,0,288.75,96.25,36-45,Low,Short (1yr),1,1,1,1,1
< 0 DM,30,Existing credits paid till now,Furniture/equipment,3108,< 100 DM,< 1 year,2,Male: divorced/separated,None,4,Savings/life insurance,31,None,Own,1,Unskilled resident,1,None,Yes,1,1036.0,103.6,26-35,High,Long (2-4yr),1,1,0,0,1
No checking account,10,Existing credits paid till now,Car (used),2901,Unknown/none,< 1 year,1,Female: divorced/married,None,4,Real estate,31,None,Rent,1,Skilled employee,1,None,Yes,0,1450.5,290.1,26-35,High,Short (1yr),0,1,0,1,0
0-200 DM,12,Critical account,Furniture/equipment,3617,< 100 DM,>= 7 years,1,Male: single,None,4,Car or other,28,None,Rent,3,Skilled employee,1,Yes,Yes,0,1808.5,301.4166666666667,26-35,High,Short (1yr),1,0,1,0,0
No checking account,12,Critical account,Radio/TV,1655,< 100 DM,>= 7 years,2,Male: single,None,4,Real estate,63,None,Own,2,Unskilled resident,1,Yes,Yes,0,551.6666666666666,137.91666666666666,55+,Medium,Short (1yr),0,0,1,1,1
< 0 DM,24,Existing credits paid till now,Car (used),2812,Unknown/none,>= 7 years,2,Female: divorced/married,None,4,Real estate,26,None,Rent,1,Skilled employee,1,None,Yes,0,937.3333333333334,117.16666666666667,26-35,High,Medium (1-2yr),1,1,1,1,0
< 0 DM,36,Critical account,Education,8065,< 100 DM,1-4 years,3,Female: divorced/married,None,2,Unknown/none,25,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,1,2016.25,224.02777777777777,18-25,Very High,Long (2-4yr),1,0,0,0,1
No checking account,21,Critical account,Car (used),3275,< 100 DM,>= 7 years,1,Male: single,None,4,Car or other,36,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,0,1637.5,155.95238095238096,36-45,High,Medium (1-2yr),0,0,1,0,1
No checking account,24,Critical account,Radio/TV,2223,100-500 DM,>= 7 years,4,Male: single,None,4,Savings/life insurance,52,Bank,Own,2,Skilled employee,1,None,Yes,0,444.6,92.625,46-55,Medium,Medium (1-2yr),0,0,1,0,1
>= 200 DM,12,Critical account,Car (new),1480,500-1000 DM,Unemployed,2,Male: single,None,4,Unknown/none,66,Bank,For free,3,Unemployed/unskilled non-resident,1,None,Yes,0,493.3333333333333,123.33333333333333,55+,Medium,Short (1yr),1,0,0,0,0
< 0 DM,24,Existing credits paid till now,Car (new),1371,Unknown/none,1-4 years,4,Female: divorced/married,None,4,Real estate,25,None,Rent,1,Skilled employee,1,None,Yes,1,274.2,57.125,18-25,Medium,Medium (1-2yr),1,1,0,1,0
No checking account,36,Critical account,Car (new),3535,< 100 DM,4-7 years,4,Male: single,None,4,Car or other,37,None,Own,2,Skilled employee,1,Yes,Yes,0,707.0,98.19444444444444,36-45,High,Long (2-4yr),0,0,1,0,1
< 0 DM,18,Existing credits paid till now,Radio/TV,3509,< 100 DM,4-7 years,4,Female: divorced/married,Guarantor,1,Real estate,25,None,Own,1,Skilled employee,1,None,Yes,0,701.8,194.94444444444446,18-25,High,Medium (1-2yr),1,1,1,1,1
No checking account,36,Critical account,Car (used),5711,>= 1000 DM,>= 7 years,4,Male: single,None,2,Car or other,38,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,0,1142.2,158.63888888888889,36-45,Very High,Long (2-4yr),0,0,1,0,1
0-200 DM,18,Existing credits paid till now,Repairs,3872,< 100 DM,Unemployed,2,Female: divorced/married,None,4,Car or other,67,None,Own,1,Skilled employee,1,Yes,Yes,0,1290.6666666666667,215.11111111111111,55+,High,Medium (1-2yr),1,1,0,0,1
0-200 DM,39,Critical account,Radio/TV,4933,< 100 DM,4-7 years,2,Male: single,Guarantor,2,Real estate,25,None,Own,2,Skilled employee,1,None,Yes,1,1644.3333333333333,126.48717948717949,18-25,Very High,Long (2-4yr),1,0,1,1,1
No checking account,24,Critical account,Car (new),1940,>= 1000 DM,>= 7 years,4,Male: single,None,4,Real estate,60,None,Own,1,Skilled employee,1,Yes,Yes,0,388.0,80.83333333333333,55+,Medium,Medium (1-2yr),0,0,1,1,1
0-200 DM,12,No credits/all paid,Retraining,1410,< 100 DM,1-4 years,2,Male: single,None,2,Real estate,31,None,Own,1,Unskilled resident,1,Yes,Yes,0,470.0,117.5,26-35,Medium,Short (1yr),1,1,0,1,1
0-200 DM,12,Existing credits paid till now,Car (new),836,100-500 DM,< 1 year,4,Female: divorced/married,None,2,Savings/life insurance,23,Bank,Own,1,Unskilled resident,1,None,Yes,1,167.2,69.66666666666667,18-25,Low,Short (1yr),1,1,0,0,1
0-200 DM,20,Existing credits paid till now,Car (used),6468,Unknown/none,Unemployed,1,Male: divorced/separated,None,4,Real estate,60,None,Own,1,Highly skilled/self-employed,1,Yes,Yes,0,3234.0,323.4,55+,Very High,Medium (1-2yr),1,1,0,1,1
0-200 DM,18,Existing credits paid till now,Business,1941,>= 1000 DM,1-4 years,4,Male: single,None,2,Savings/life insurance,35,None,Own,1,Unskilled resident,1,Yes,Yes,0,388.2,107.83333333333333,26-35,Medium,Medium (1-2yr),1,1,0,0,1
No checking account,22,Existing credits paid till now,Radio/TV,2675,500-1000 DM,>= 7 years,3,Male: single,None,4,Car or other,40,None,Own,1,Skilled employee,1,None,Yes,0,668.75,121.5909090909091,36-45,High,Medium (1-2yr),0,1,1,0,1
No checking account,48,Critical account,Car (used),2751,Unknown/none,>= 7 years,4,Male: single,None,3,Car or other,38,None,Own,2,Skilled employee,2,Yes,Yes,0,550.2,57.3125,36-45,High,Long (2-4yr),0,0,1,0,1
0-200 DM,48,Delay in past payments,Education,6224,< 100 DM,>= 7 years,4,Male: single,None,4,Unknown/none,50,None,For free,1,Skilled employee,1,None,Yes,1,1244.8,129.66666666666666,46-55,Very High,Long (2-4yr),1,0,1,0,0
< 0 DM,40,Critical account,Education,5998,< 100 DM,1-4 years,4,Male: single,None,3,Unknown/none,27,Bank,Own,1,Skilled employee,1,Yes,Yes,1,1199.6,149.95,26-35,Very High,Long (2-4yr),1,0,0,0,1
0-200 DM,21,Existing credits paid till now,Business,1188,< 100 DM,>= 7 years,2,Female: divorced/married,None,4,Savings/life insurance,39,None,Own,1,Skilled employee,2,None,Yes,1,396.0,56.57142857142857,36-45,Low,Medium (1-2yr),1,1,1,0,1
No checking account,24,Existing credits paid till now,Car (used),6313,Unknown/none,>= 7 years,3,Male: single,None,4,Car or other,41,None,Own,1,Highly skilled/self-employed,2,Yes,Yes,0,1578.25,263.0416666666667,36-45,Very High,Medium (1-2yr),0,1,1,0,1
No checking account,6,Critical account,Furniture/equipment,1221,Unknown/none,1-4 years,1,Male: married/widowed,None,2,Savings/life insurance,27,None,Own,2,Skilled employee,1,None,Yes,0,610.5,203.5,26-35,Low,Short (1yr),0,0,0,0,1
>= 200 DM,24,Existing credits paid till now,Furniture/equipment,2892,< 100 DM,>= 7 years,3,Male: divorced/separated,None,4,Unknown/none,51,None,For free,1,Skilled employee,1,None,Yes,0,723.0,120.5,46-55,High,Medium (1-2yr),1,1,1,0,0
No checking account,24,Existing credits paid till now,Furniture/equipment,3062,500-1000 DM,>= 7 years,4,Male: single,None,3,Unknown/none,32,None,Rent,1,Skilled employee,1,Yes,Yes,0,612.4,127.58333333333333,26-35,High,Medium (1-2yr),0,1,1,0,0
No checking account,9,Existing credits paid till now,Furniture/equipment,2301,100-500 DM,< 1 year,2,Female: divorced/married,None,4,Savings/life insurance,22,None,Rent,1,Skilled employee,1,None,Yes,0,767.0,255.66666666666666,18-25,Medium,Short (1yr),0,1,0,0,0
< 0 DM,18,Existing credits paid till now,Car (used),7511,Unknown/none,>= 7 years,1,Male: single,None,4,Savings/life insurance,51,None,For free,1,Skilled employee,2,Yes,Yes,1,3755.5,417.27777777777777,46-55,Very High,Medium (1-2yr),1,1,1,0,0
No checking account,12,Critical account,Furniture/equipment,1258,< 100 DM,< 1 year,2,Female: divorced/married,None,4,Savings/life insurance,22,None,Rent,2,Unskilled resident,1,None,Yes,0,419.3333333333333,104.83333333333333,18-25,Low,Short (1yr),0,0,0,0,0
No checking account,24,Delay in past payments,Car (new),717,Unknown/none,>= 7 years,4,Male: married/widowed,None,4,Car or other,54,None,Own,2,Skilled employee,1,Yes,Yes,0,143.4,29.875,46-55,Low,Medium (1-2yr),0,0,1,0,1
0-200 DM,9,Existing credits paid till now,Car (new),1549,Unknown/none,< 1 year,4,Male: single,None,2,Real estate,35,None,Own,1,Unemployed/unskilled non-resident,1,None,Yes,0,309.8,172.11111111111111,26-35,Medium,Short (1yr),1,1,0,1,1
No checking account,24,Critical account,Education,1597,< 100 DM,>= 7 years,4,Male: single,None,4,Unknown/none,54,None,For free,2,Skilled employee,2,None,Yes,0,319.4,66.54166666666667,46-55,Medium,Medium (1-2yr),0,0,1,0,0
0-200 DM,18,Critical account,Radio/TV,1795,< 100 DM,>= 7 years,3,Female: divorced/married,Guarantor,4,Real estate,48,Bank,Rent,2,Unskilled resident,1,Yes,Yes,0,448.75,99.72222222222223,46-55,Medium,Medium (1-2yr),1,0,1,1,0
< 0 DM,20,Critical account,Furniture/equipment,4272,< 100 DM,>= 7 years,1,Female: divorced/married,None,4,Savings/life insurance,24,None,Own,2,Skilled employee,1,None,Yes,0,2136.0,213.6,18-25,Very High,Medium (1-2yr),1,0,1,0,1
No checking account,12,Critical account,Radio/TV,976,Unknown/none,>= 7 years,4,Male: single,None,4,Car or other,35,None,Own,2,Skilled employee,1,None,Yes,0,195.2,81.33333333333333,26-35,Low,Short (1yr),0,0,1,0,1
0-200 DM,12,Existing credits paid till now,Car (new),7472,Unknown/none,Unemployed,1,Female: divorced/married,None,2,Real estate,24,None,Rent,1,Unemployed/unskilled non-resident,1,None,Yes,0,3736.0,622.6666666666666,18-25,Very High,Short (1yr),1,1,0,1,0
< 0 DM,36,Existing credits paid till now,Car (new),9271,< 100 DM,4-7 years,2,Male: single,None,1,Car or other,24,None,Own,1,Skilled employee,1,Yes,Yes,1,3090.3333333333335,257.52777777777777,18-25,Very High,Long (2-4yr),1,1,1,0,1
0-200 DM,6,Existing credits paid till now,Radio/TV,590,< 100 DM,< 1 year,3,Male: married/widowed,None,3,Real estate,26,None,Own,1,Unskilled resident,1,None,No,0,147.5,98.33333333333333,26-35,Low,Short (1yr),1,1,0,1,1
No checking account,12,Critical account,Radio/TV,930,Unknown/none,>= 7 years,4,Male: single,None,4,Real estate,65,None,Own,4,Skilled employee,1,None,Yes,0,186.0,77.5,55+,Low,Short (1yr),0,0,1,1,1
0-200 DM,42,All credits paid at this bank,Car (used),9283,< 100 DM,Unemployed,1,Male: single,None,2,Unknown/none,55,Bank,For free,1,Highly skilled/self-employed,1,Yes,Yes,0,4641.5,221.02380952380952,46-55,Very High,Long (2-4yr),1,1,0,0,0
0-200 DM,15,No credits/all paid,Car (new),1778,< 100 DM,< 1 year,2,Female: divorced/married,None,1,Real estate,26,None,Rent,2,Unemployed/unskilled non-resident,1,None,Yes,1,592.6666666666666,118.53333333333333,26-35,Medium,Medium (1-2yr),1,1,0,1,0
0-200 DM,8,Existing credits paid till now,Business,907,< 100 DM,< 1 year,3,Male: married/widowed,None,2,Real estate,26,None,Own,1,Skilled employee,1,Yes,Yes,0,226.75,113.375,26-35,Low,Short (1yr),1,1,0,1,1
0-200 DM,6,Existing credits paid till now,Radio/TV,484,< 100 DM,4-7 years,3,Male: married/widowed,Guarantor,3,Real estate,28,Bank,Own,1,Unskilled resident,1,None,Yes,0,121.0,80.66666666666667,26-35,Low,Short (1yr),1,1,1,1,1
< 0 DM,36,Critical account,Car (used),9629,< 100 DM,4-7 years,4,Male: single,None,4,Car or other,24,None,Own,2,Skilled employee,1,Yes,Yes,1,1925.8,267.47222222222223,18-25,Very High,Long (2-4yr),1,0,1,0,1
< 0 DM,48,Existing credits paid till now,Domestic appliances,3051,< 100 DM,1-4 years,3,Male: single,None,4,Car or other,54,None,Own,1,Skilled employee,1,None,Yes,1,762.75,63.5625,46-55,High,Long (2-4yr),1,1,0,0,1
< 0 DM,48,Existing credits paid till now,Car (new),3931,< 100 DM,4-7 years,4,Male: single,None,4,Unknown/none,46,None,For free,1,Skilled employee,2,None,Yes,1,786.2,81.89583333333333,46-55,High,Long (2-4yr),1,1,1,0,0
0-200 DM,36,Delay in past payments,Car (new),7432,< 100 DM,1-4 years,2,Female: divorced/married,None,2,Savings/life insurance,54,None,Rent,1,Skilled employee,1,None,Yes,0,2477.3333333333335,206.44444444444446,46-55,Very High,Long (2-4yr),1,0,0,0,0
No checking account,6,Existing credits paid till now,Domestic appliances,1338,500-1000 DM,1-4 years,1,Male: divorced/separated,None,4,Real estate,62,None,Own,1,Skilled employee,1,None,Yes,0,669.0,223.0,55+,Low,Short (1yr),0,1,0,1,1
No checking account,6,Critical account,Radio/TV,1554,< 100 DM,4-7 years,1,Female: divorced/married,None,2,Car or other,24,None,Rent,2,Skilled employee,1,Yes,Yes,0,777.0,259.0,18-25,Medium,Short (1yr),0,0,1,0,0
< 0 DM,36,Existing credits paid till now,Others,15857,< 100 DM,Unemployed,2,Male: divorced/separated,Co-applicant,3,Car or other,43,None,Own,1,Highly skilled/self-employed,1,None,Yes,0,5285.666666666667,440.47222222222223,36-45,Very High,Long (2-4yr),1,1,0,0,1
< 0 DM,18,Existing credits paid till now,Radio/TV,1345,< 100 DM,1-4 years,4,Male: married/widowed,None,3,Real estate,26,Bank,Own,1,Skilled employee,1,None,Yes,1,269.0,74.72222222222223,26-35,Low,Medium (1-2yr),1,1,0,1,1
No checking account,12,Existing credits paid till now,Car (new),1101,< 100 DM,1-4 years,3,Male: married/widowed,None,2,Real estate,27,None,Own,2,Skilled employee,1,Yes,Yes,0,275.25,91.75,26-35,Low,Short (1yr),0,1,0,1,1
>= 200 DM,12,Existing credits paid till now,Radio/TV,3016,< 100 DM,1-4 years,3,Male: married/widowed,None,1,Car or other,24,None,Own,1,Skilled employee,1,None,Yes,0,754.0,251.33333333333334,18-25,High,Short (1yr),1,1,0,0,1
< 0 DM,36,Existing credits paid till now,Furniture/equipment,2712,< 100 DM,>= 7 years,2,Male: single,None,2,Savings/life insurance,41,Bank,Own,1,Skilled employee,2,None,Yes,1,904.0,75.33333333333333,36-45,High,Long (2-4yr),1,1,1,0,1
< 0 DM,8,Critical account,Car (new),731,< 100 DM,>= 7 years,4,Male: single,None,4,Real estate,47,None,Own,2,Unskilled resident,1,None,Yes,0,146.2,91.375,46-55,Low,Short (1yr),1,0,1,1,1
No checking account,18,Critical account,Furniture/equipment,3780,< 100 DM,< 1 year,3,Male: divorced/separated,None,2,Car or other,35,None,Own,2,Highly skilled/self-employed,1,Yes,Yes,0,945.0,210.0,26-35,High,Medium (1-2yr),0,0,0,0,1
< 0 DM,21,Critical account,Car (new),1602,< 100 DM,>= 7 years,4,Male: married/widowed,None,3,Car or other,30,None,Own,2,Skilled employee,1,Yes,Yes,0,320.4,76.28571428571429,26-35,Medium,Medium (1-2yr),1,0,1,0,1
< 0 DM,18,Critical account,Car (new),3966,< 100 DM,>= 7 years,1,Female: divorced/married,None,4,Real estate,33,Bank,Rent,3,Skilled employee,1,Yes,Yes,1,1983.0,220.33333333333334,26-35,High,Medium (1-2yr),1,0,1,1,0
No checking account,18,No credits/all paid,Business,4165,< 100 DM,1-4 years,2,Male: single,None,2,Car or other,36,Stores,Own,2,Skilled employee,2,None,Yes,1,1388.3333333333333,231.38888888888889,36-45,Very High,Medium (1-2yr),0,1,0,0,1
< 0 DM,36,Existing credits paid till now,Car (used),8335,Unknown/none,>= 7 years,3,Male: single,None,4,Unknown/none,47,None,For free,1,Skilled employee,1,None,Yes,1,2083.75,231.52777777777777,46-55,Very High,Long (2-4yr),1,1,1,0,0
0-200 DM,48,Delay in past payments,Business,6681,Unknown/none,1-4 years,4,Male: single,None,4,Unknown/none,38,None,For free,1,Skilled employee,2,Yes,Yes,0,1336.2,139.1875,36-45,Very High,Long (2-4yr),1,0,0,0,0
No checking account,24,Delay in past payments,Business,2375,500-1000 DM,1-4 years,4,Male: single,None,2,Car or other,44,None,Own,2,Skilled employee,2,Yes,Yes,0,475.0,98.95833333333333,36-45,High,Medium (1-2yr),0,0,0,0,1
< 0 DM,18,Existing credits paid till now,Car (new),1216,< 100 DM,< 1 year,4,Female: divorced/married,None,3,Car or other,23,None,Rent,1,Skilled employee,1,Yes,Yes,1,243.2,67.55555555555556,18-25,Low,Medium (1-2yr),1,1,0,0,0
< 0 DM,45,No credits/all paid,Business,11816,< 100 DM,>= 7 years,2,Male: single,None,4,Car or other,29,None,Rent,2,Skilled employee,1,None,Yes,1,3938.6666666666665,262.5777777777778,26-35,Very High,Long (2-4yr),1,1,1,0,0
0-200 DM,24,Existing credits paid till now,Radio/TV,5084,Unknown/none,>= 7 years,2,Female: divorced/married,None,4,Car or other,42,None,Own,1,Skilled employee,1,Yes,Yes,0,1694.6666666666667,211.83333333333334,36-45,Very High,Medium (1-2yr),1,1,1,0,1
>= 200 DM,15,Existing credits paid till now,Radio/TV,2327,< 100 DM,< 1 year,2,Female: divorced/married,None,3,Real estate,25,None,Own,1,Unskilled resident,1,None,Yes,1,775.6666666666666,155.13333333333333,18-25,High,Medium (1-2yr),1,1,0,1,1
< 0 DM,12,No credits/all paid,Car (new),1082,< 100 DM,1-4 years,4,Male: single,None,4,Car or other,48,Bank,Own,2,Skilled employee,1,None,Yes,1,216.4,90.16666666666667,46-55,Low,Short (1yr),1,1,0,0,1
No checking account,12,Existing credits paid till now,Radio/TV,886,Unknown/none,1-4 years,4,Female: divorced/married,None,2,Car or other,21,None,Own,1,Skilled employee,1,None,Yes,0,177.2,73.83333333333333,18-25,Low,Short (1yr),0,1,0,0,1
No checking account,4,Existing credits paid till now,Furniture/equipment,601,< 100 DM,< 1 year,1,Female: divorced/married,None,3,Real estate,23,None,Rent,1,Unskilled resident,2,None,Yes,0,300.5,150.25,18-25,Low,Short (1yr),0,1,0,1,0
< 0 DM,24,Critical account,Car (used),2957,< 100 DM,>= 7 years,4,Male: single,None,4,Savings/life insurance,63,None,Own,2,Skilled employee,1,Yes,Yes,0,591.4,123.20833333333333,55+,High,Medium (1-2yr),1,0,1,0,1
No checking account,24,Critical account,Radio/TV,2611,< 100 DM,>= 7 years,4,Male: married/widowed,Co-applicant,3,Real estate,46,None,Own,2,Skilled employee,1,None,Yes,0,522.2,108.79166666666667,46-55,High,Medium (1-2yr),0,0,1,1,1
< 0 DM,36,Existing credits paid till now,Furniture/equipment,5179,< 100 DM,4-7 years,4,Male: single,None,2,Savings/life insurance,29,None,Own,1,Skilled employee,1,None,Yes,1,1035.8,143.86111111111111,26-35,Very High,Long (2-4yr),1,1,1,0,1
No checking account,21,Delay in past payments,Car (used),2993,< 100 DM,1-4 years,3,Male: single,None,2,Real estate,28,Stores,Own,2,Unskilled resident,1,None,Yes,0,748.25,142.52380952380952,26-35,High,Medium (1-2yr),0,0,0,1,1
No checking account,18,Existing credits paid till now,Repairs,1943,< 100 DM,< 1 year,4,Female: divorced/married,None,4,Real estate,23,None,Own,1,Skilled employee,1,None,Yes,1,388.6,107.94444444444444,18-25,Medium,Medium (1-2yr),0,1,0,1,1
No checking account,24,All credits paid at this bank,Business,1559,< 100 DM,4-7 years,4,Male: single,None,4,Car or other,50,Bank,Own,1,Skilled employee,1,Yes,Yes,0,311.8,64.95833333333333,46-55,Medium,Medium (1-2yr),0,1,1,0,1
No checking account,18,Existing credits paid till now,Furniture/equipment,3422,< 100 DM,>= 7 years,4,Male: single,None,4,Savings/life insurance,47,Bank,Own,3,Skilled employee,2,Yes,Yes,0,684.4,190.11111111111111,46-55,High,Medium (1-2yr),0,1,1,0,1
0-200 DM,21,Existing credits paid till now,Furniture/equipment,3976,Unknown/none,4-7 years,2,Male: single,None,3,Car or other,35,None,Own,1,Skilled employee,1,Yes,Yes,0,1325.3333333333333,189.33333333333334,26-35,Very High,Medium (1-2yr),1,1,1,0,1
No checking account,18,Existing credits paid till now,Car (new),6761,Unknown/none,1-4 years,2,Male: single,None,4,Car or other,68,None,Rent,2,Skilled employee,1,None,Yes,1,2253.6666666666665,375.6111111111111,55+,Very High,Medium (1-2yr),0,1,0,0,0
No checking account,24,Existing credits paid till now,Car (new),1249,< 100 DM,< 1 year,4,Male: married/widowed,None,2,Real estate,28,None,Own,1,Skilled employee,1,None,Yes,0,249.8,52.041666666666664,26-35,Low,Medium (1-2yr),0,1,0,1,1
< 0 DM,9,Existing credits paid till now,Radio/TV,1364,< 100 DM,4-7 years,3,Male: single,None,4,Real estate,59,None,Own,1,Skilled employee,1,None,Yes,0,341.0,151.55555555555554,55+,Low,Short (1yr),1,1,1,1,1
< 0 DM,12,Existing credits paid till now,Radio/TV,709,< 100 DM,>= 7 years,4,Male: single,None,4,Real estate,57,Stores,Own,1,Unskilled resident,1,None,Yes,1,141.8,59.083333333333336,55+,Low,Short (1yr),1,1,1,1,1
